GRAPHEME	FROM_ROUNDEDNESS	FROM_HEIGHT	FROM_CENTRALITY	TO_ROUNDEDNESS	TO_HEIGHT	TO_CENTRALITY	ALIAS	EXTRA	NOTE
ɞ̞æ	from_rounded	from_near-open	from_central	to_unrounded	to_nearly-open	to_front			
ɞ̞ɞ	from_rounded	from_near-open	from_central	to_rounded	to_open-mid	to_central			
ɞ̞ɪ̈	from_rounded	from_near-open	from_central	to_unrounded	to_near-close	to_central			
ɞ̞ɤ	from_rounded	from_near-open	from_central	to_unrounded	to_close-mid	to_back			
ɞ̞ʉ	from_rounded	from_near-open	from_central	to_rounded	to_close	to_central			
ɞ̞ɑ	from_rounded	from_near-open	from_central	to_unrounded	to_open	to_back			
ɞ̞ɯ̽	from_rounded	from_near-open	from_central	to_unrounded	to_near-close	to_near-back			
ɞ̞e	from_rounded	from_near-open	from_central	to_unrounded	to_close-mid	to_front			
ɞ̞u	from_rounded	from_near-open	from_central	to_rounded	to_close	to_back			
ɞ̞o	from_rounded	from_near-open	from_central	to_rounded	to_close-mid	to_back			
ɞ̞ɜ	from_rounded	from_near-open	from_central	to_unrounded	to_open-mid	to_central			
ɞ̞ɵ̞	from_rounded	from_near-open	from_central	to_rounded	to_mid	to_central			
ɞ̞y	from_rounded	from_near-open	from_central	to_rounded	to_close	to_front			
ɞ̞ɤ̞	from_rounded	from_near-open	from_central	to_unrounded	to_mid	to_back			
ɞ̞ʊ	from_rounded	from_near-open	from_central	to_rounded	to_near-close	to_near-back			
ɞ̞ɶ	from_rounded	from_near-open	from_central	to_rounded	to_open	to_front			
ɞ̞ɨ	from_rounded	from_near-open	from_central	to_unrounded	to_close	to_central			
ɞ̞ø̞	from_rounded	from_near-open	from_central	to_rounded	to_mid	to_front			
ɞ̞ɐ	from_rounded	from_near-open	from_central	to_unrounded	to_nearly-open	to_central			
ɞ̞œ	from_rounded	from_near-open	from_central	to_rounded	to_open-mid	to_front			
ɞ̞ø	from_rounded	from_near-open	from_central	to_rounded	to_close-mid	to_front			
ɞ̞ʊ̈	from_rounded	from_near-open	from_central	to_rounded	to_near-close	to_central			
ɞ̞i	from_rounded	from_near-open	from_central	to_unrounded	to_close	to_front			
ɞ̞ɛ	from_rounded	from_near-open	from_central	to_unrounded	to_open-mid	to_front			
ɞ̞ɒ	from_rounded	from_near-open	from_central	to_rounded	to_open	to_back			
ɞ̞a	from_rounded	from_near-open	from_central	to_unrounded	to_open	to_front			
ɞ̞o̞	from_rounded	from_near-open	from_central	to_rounded	to_mid	to_back			
ɞ̞ʌ	from_rounded	from_near-open	from_central	to_unrounded	to_open-mid	to_back			
ɞ̞ɪ	from_rounded	from_near-open	from_central	to_unrounded	to_near-close	to_near-front			
ɞ̞ə	from_rounded	from_near-open	from_central	to_unrounded	to_mid	to_central			
ɞ̞ʏ	from_rounded	from_near-open	from_central	to_rounded	to_near-close	to_near-front			
ɞ̞ɔ	from_rounded	from_near-open	from_central	to_rounded	to_open-mid	to_back			
ɞ̞ɵ	from_rounded	from_near-open	from_central	to_rounded	to_close-mid	to_central			
ɞ̞ɘ	from_rounded	from_near-open	from_central	to_unrounded	to_close-mid	to_central			
ɞ̞ɯ	from_rounded	from_near-open	from_central	to_unrounded	to_close	to_back			
ɞ̞e̞	from_rounded	from_near-open	from_central	to_unrounded	to_mid	to_front			
æɞ̞	from_unrounded	from_nearly-open	from_front	to_rounded	to_near-open	to_central			
æɞ	from_unrounded	from_nearly-open	from_front	to_rounded	to_open-mid	to_central			
æɪ̈	from_unrounded	from_nearly-open	from_front	to_unrounded	to_near-close	to_central			
æɤ	from_unrounded	from_nearly-open	from_front	to_unrounded	to_close-mid	to_back			
æʉ	from_unrounded	from_nearly-open	from_front	to_rounded	to_close	to_central			
æɑ	from_unrounded	from_nearly-open	from_front	to_unrounded	to_open	to_back			
æɯ̽	from_unrounded	from_nearly-open	from_front	to_unrounded	to_near-close	to_near-back			
æe	from_unrounded	from_nearly-open	from_front	to_unrounded	to_close-mid	to_front			
æu	from_unrounded	from_nearly-open	from_front	to_rounded	to_close	to_back			
æo	from_unrounded	from_nearly-open	from_front	to_rounded	to_close-mid	to_back			
æɜ	from_unrounded	from_nearly-open	from_front	to_unrounded	to_open-mid	to_central			
æɵ̞	from_unrounded	from_nearly-open	from_front	to_rounded	to_mid	to_central			
æy	from_unrounded	from_nearly-open	from_front	to_rounded	to_close	to_front			
æɤ̞	from_unrounded	from_nearly-open	from_front	to_unrounded	to_mid	to_back			
æʊ	from_unrounded	from_nearly-open	from_front	to_rounded	to_near-close	to_near-back			
æɶ	from_unrounded	from_nearly-open	from_front	to_rounded	to_open	to_front			
æɨ	from_unrounded	from_nearly-open	from_front	to_unrounded	to_close	to_central			
æø̞	from_unrounded	from_nearly-open	from_front	to_rounded	to_mid	to_front			
æɐ	from_unrounded	from_nearly-open	from_front	to_unrounded	to_nearly-open	to_central			
æœ	from_unrounded	from_nearly-open	from_front	to_rounded	to_open-mid	to_front			
æø	from_unrounded	from_nearly-open	from_front	to_rounded	to_close-mid	to_front			
æʊ̈	from_unrounded	from_nearly-open	from_front	to_rounded	to_near-close	to_central			
æi	from_unrounded	from_nearly-open	from_front	to_unrounded	to_close	to_front			
æɛ	from_unrounded	from_nearly-open	from_front	to_unrounded	to_open-mid	to_front			
æɒ	from_unrounded	from_nearly-open	from_front	to_rounded	to_open	to_back			
æa	from_unrounded	from_nearly-open	from_front	to_unrounded	to_open	to_front			
æo̞	from_unrounded	from_nearly-open	from_front	to_rounded	to_mid	to_back			
æʌ	from_unrounded	from_nearly-open	from_front	to_unrounded	to_open-mid	to_back			
æɪ	from_unrounded	from_nearly-open	from_front	to_unrounded	to_near-close	to_near-front			
æə	from_unrounded	from_nearly-open	from_front	to_unrounded	to_mid	to_central			
æʏ	from_unrounded	from_nearly-open	from_front	to_rounded	to_near-close	to_near-front			
æɔ	from_unrounded	from_nearly-open	from_front	to_rounded	to_open-mid	to_back			
æɵ	from_unrounded	from_nearly-open	from_front	to_rounded	to_close-mid	to_central			
æɘ	from_unrounded	from_nearly-open	from_front	to_unrounded	to_close-mid	to_central			
æɯ	from_unrounded	from_nearly-open	from_front	to_unrounded	to_close	to_back			
æe̞	from_unrounded	from_nearly-open	from_front	to_unrounded	to_mid	to_front			
ɞɞ̞	from_rounded	from_open-mid	from_central	to_rounded	to_near-open	to_central			
ɞæ	from_rounded	from_open-mid	from_central	to_unrounded	to_nearly-open	to_front			
ɞɪ̈	from_rounded	from_open-mid	from_central	to_unrounded	to_near-close	to_central			
ɞɤ	from_rounded	from_open-mid	from_central	to_unrounded	to_close-mid	to_back			
ɞʉ	from_rounded	from_open-mid	from_central	to_rounded	to_close	to_central			
ɞɑ	from_rounded	from_open-mid	from_central	to_unrounded	to_open	to_back			
ɞɯ̽	from_rounded	from_open-mid	from_central	to_unrounded	to_near-close	to_near-back			
ɞe	from_rounded	from_open-mid	from_central	to_unrounded	to_close-mid	to_front			
ɞu	from_rounded	from_open-mid	from_central	to_rounded	to_close	to_back			
ɞo	from_rounded	from_open-mid	from_central	to_rounded	to_close-mid	to_back			
ɞɜ	from_rounded	from_open-mid	from_central	to_unrounded	to_open-mid	to_central			
ɞɵ̞	from_rounded	from_open-mid	from_central	to_rounded	to_mid	to_central			
ɞy	from_rounded	from_open-mid	from_central	to_rounded	to_close	to_front			
ɞɤ̞	from_rounded	from_open-mid	from_central	to_unrounded	to_mid	to_back			
ɞʊ	from_rounded	from_open-mid	from_central	to_rounded	to_near-close	to_near-back			
ɞɶ	from_rounded	from_open-mid	from_central	to_rounded	to_open	to_front			
ɞɨ	from_rounded	from_open-mid	from_central	to_unrounded	to_close	to_central			
ɞø̞	from_rounded	from_open-mid	from_central	to_rounded	to_mid	to_front			
ɞɐ	from_rounded	from_open-mid	from_central	to_unrounded	to_nearly-open	to_central			
ɞœ	from_rounded	from_open-mid	from_central	to_rounded	to_open-mid	to_front			
ɞø	from_rounded	from_open-mid	from_central	to_rounded	to_close-mid	to_front			
ɞʊ̈	from_rounded	from_open-mid	from_central	to_rounded	to_near-close	to_central			
ɞi	from_rounded	from_open-mid	from_central	to_unrounded	to_close	to_front			
ɞɛ	from_rounded	from_open-mid	from_central	to_unrounded	to_open-mid	to_front			
ɞɒ	from_rounded	from_open-mid	from_central	to_rounded	to_open	to_back			
ɞa	from_rounded	from_open-mid	from_central	to_unrounded	to_open	to_front			
ɞo̞	from_rounded	from_open-mid	from_central	to_rounded	to_mid	to_back			
ɞʌ	from_rounded	from_open-mid	from_central	to_unrounded	to_open-mid	to_back			
ɞɪ	from_rounded	from_open-mid	from_central	to_unrounded	to_near-close	to_near-front			
ɞə	from_rounded	from_open-mid	from_central	to_unrounded	to_mid	to_central			
ɞʏ	from_rounded	from_open-mid	from_central	to_rounded	to_near-close	to_near-front			
ɞɔ	from_rounded	from_open-mid	from_central	to_rounded	to_open-mid	to_back			
ɞɵ	from_rounded	from_open-mid	from_central	to_rounded	to_close-mid	to_central			
ɞɘ	from_rounded	from_open-mid	from_central	to_unrounded	to_close-mid	to_central			
ɞɯ	from_rounded	from_open-mid	from_central	to_unrounded	to_close	to_back			
ɞe̞	from_rounded	from_open-mid	from_central	to_unrounded	to_mid	to_front			
ɪ̈ɞ̞	from_unrounded	from_near-close	from_central	to_rounded	to_near-open	to_central			
ɪ̈æ	from_unrounded	from_near-close	from_central	to_unrounded	to_nearly-open	to_front			
ɪ̈ɞ	from_unrounded	from_near-close	from_central	to_rounded	to_open-mid	to_central			
ɪ̈ɤ	from_unrounded	from_near-close	from_central	to_unrounded	to_close-mid	to_back			
ɪ̈ʉ	from_unrounded	from_near-close	from_central	to_rounded	to_close	to_central			
ɪ̈ɑ	from_unrounded	from_near-close	from_central	to_unrounded	to_open	to_back			
ɪ̈ɯ̽	from_unrounded	from_near-close	from_central	to_unrounded	to_near-close	to_near-back			
ɪ̈e	from_unrounded	from_near-close	from_central	to_unrounded	to_close-mid	to_front			
ɪ̈u	from_unrounded	from_near-close	from_central	to_rounded	to_close	to_back			
ɪ̈o	from_unrounded	from_near-close	from_central	to_rounded	to_close-mid	to_back			
ɪ̈ɜ	from_unrounded	from_near-close	from_central	to_unrounded	to_open-mid	to_central			
ɪ̈ɵ̞	from_unrounded	from_near-close	from_central	to_rounded	to_mid	to_central			
ɪ̈y	from_unrounded	from_near-close	from_central	to_rounded	to_close	to_front			
ɪ̈ɤ̞	from_unrounded	from_near-close	from_central	to_unrounded	to_mid	to_back			
ɪ̈ʊ	from_unrounded	from_near-close	from_central	to_rounded	to_near-close	to_near-back			
ɪ̈ɶ	from_unrounded	from_near-close	from_central	to_rounded	to_open	to_front			
ɪ̈ɨ	from_unrounded	from_near-close	from_central	to_unrounded	to_close	to_central			
ɪ̈ø̞	from_unrounded	from_near-close	from_central	to_rounded	to_mid	to_front			
ɪ̈ɐ	from_unrounded	from_near-close	from_central	to_unrounded	to_nearly-open	to_central			
ɪ̈œ	from_unrounded	from_near-close	from_central	to_rounded	to_open-mid	to_front			
ɪ̈ø	from_unrounded	from_near-close	from_central	to_rounded	to_close-mid	to_front			
ɪ̈ʊ̈	from_unrounded	from_near-close	from_central	to_rounded	to_near-close	to_central			
ɪ̈i	from_unrounded	from_near-close	from_central	to_unrounded	to_close	to_front			
ɪ̈ɛ	from_unrounded	from_near-close	from_central	to_unrounded	to_open-mid	to_front			
ɪ̈ɒ	from_unrounded	from_near-close	from_central	to_rounded	to_open	to_back			
ɪ̈a	from_unrounded	from_near-close	from_central	to_unrounded	to_open	to_front			
ɪ̈o̞	from_unrounded	from_near-close	from_central	to_rounded	to_mid	to_back			
ɪ̈ʌ	from_unrounded	from_near-close	from_central	to_unrounded	to_open-mid	to_back			
ɪ̈ɪ	from_unrounded	from_near-close	from_central	to_unrounded	to_near-close	to_near-front			
ɪ̈ə	from_unrounded	from_near-close	from_central	to_unrounded	to_mid	to_central			
ɪ̈ʏ	from_unrounded	from_near-close	from_central	to_rounded	to_near-close	to_near-front			
ɪ̈ɔ	from_unrounded	from_near-close	from_central	to_rounded	to_open-mid	to_back			
ɪ̈ɵ	from_unrounded	from_near-close	from_central	to_rounded	to_close-mid	to_central			
ɪ̈ɘ	from_unrounded	from_near-close	from_central	to_unrounded	to_close-mid	to_central			
ɪ̈ɯ	from_unrounded	from_near-close	from_central	to_unrounded	to_close	to_back			
ɪ̈e̞	from_unrounded	from_near-close	from_central	to_unrounded	to_mid	to_front			
ɤɞ̞	from_unrounded	from_close-mid	from_back	to_rounded	to_near-open	to_central			
ɤæ	from_unrounded	from_close-mid	from_back	to_unrounded	to_nearly-open	to_front			
ɤɞ	from_unrounded	from_close-mid	from_back	to_rounded	to_open-mid	to_central			
ɤɪ̈	from_unrounded	from_close-mid	from_back	to_unrounded	to_near-close	to_central			
ɤʉ	from_unrounded	from_close-mid	from_back	to_rounded	to_close	to_central			
ɤɑ	from_unrounded	from_close-mid	from_back	to_unrounded	to_open	to_back			
ɤɯ̽	from_unrounded	from_close-mid	from_back	to_unrounded	to_near-close	to_near-back			
ɤe	from_unrounded	from_close-mid	from_back	to_unrounded	to_close-mid	to_front			
ɤu	from_unrounded	from_close-mid	from_back	to_rounded	to_close	to_back			
ɤo	from_unrounded	from_close-mid	from_back	to_rounded	to_close-mid	to_back			
ɤɜ	from_unrounded	from_close-mid	from_back	to_unrounded	to_open-mid	to_central			
ɤɵ̞	from_unrounded	from_close-mid	from_back	to_rounded	to_mid	to_central			
ɤy	from_unrounded	from_close-mid	from_back	to_rounded	to_close	to_front			
ɤɤ̞	from_unrounded	from_close-mid	from_back	to_unrounded	to_mid	to_back			
ɤʊ	from_unrounded	from_close-mid	from_back	to_rounded	to_near-close	to_near-back			
ɤɶ	from_unrounded	from_close-mid	from_back	to_rounded	to_open	to_front			
ɤɨ	from_unrounded	from_close-mid	from_back	to_unrounded	to_close	to_central			
ɤø̞	from_unrounded	from_close-mid	from_back	to_rounded	to_mid	to_front			
ɤɐ	from_unrounded	from_close-mid	from_back	to_unrounded	to_nearly-open	to_central			
ɤœ	from_unrounded	from_close-mid	from_back	to_rounded	to_open-mid	to_front			
ɤø	from_unrounded	from_close-mid	from_back	to_rounded	to_close-mid	to_front			
ɤʊ̈	from_unrounded	from_close-mid	from_back	to_rounded	to_near-close	to_central			
ɤi	from_unrounded	from_close-mid	from_back	to_unrounded	to_close	to_front			
ɤɛ	from_unrounded	from_close-mid	from_back	to_unrounded	to_open-mid	to_front			
ɤɒ	from_unrounded	from_close-mid	from_back	to_rounded	to_open	to_back			
ɤa	from_unrounded	from_close-mid	from_back	to_unrounded	to_open	to_front			
ɤo̞	from_unrounded	from_close-mid	from_back	to_rounded	to_mid	to_back			
ɤʌ	from_unrounded	from_close-mid	from_back	to_unrounded	to_open-mid	to_back			
ɤɪ	from_unrounded	from_close-mid	from_back	to_unrounded	to_near-close	to_near-front			
ɤə	from_unrounded	from_close-mid	from_back	to_unrounded	to_mid	to_central			
ɤʏ	from_unrounded	from_close-mid	from_back	to_rounded	to_near-close	to_near-front			
ɤɔ	from_unrounded	from_close-mid	from_back	to_rounded	to_open-mid	to_back			
ɤɵ	from_unrounded	from_close-mid	from_back	to_rounded	to_close-mid	to_central			
ɤɘ	from_unrounded	from_close-mid	from_back	to_unrounded	to_close-mid	to_central			
ɤɯ	from_unrounded	from_close-mid	from_back	to_unrounded	to_close	to_back			
ɤe̞	from_unrounded	from_close-mid	from_back	to_unrounded	to_mid	to_front			
ʉɞ̞	from_rounded	from_close	from_central	to_rounded	to_near-open	to_central			
ʉæ	from_rounded	from_close	from_central	to_unrounded	to_nearly-open	to_front			
ʉɞ	from_rounded	from_close	from_central	to_rounded	to_open-mid	to_central			
ʉɪ̈	from_rounded	from_close	from_central	to_unrounded	to_near-close	to_central			
ʉɤ	from_rounded	from_close	from_central	to_unrounded	to_close-mid	to_back			
ʉɑ	from_rounded	from_close	from_central	to_unrounded	to_open	to_back			
ʉɯ̽	from_rounded	from_close	from_central	to_unrounded	to_near-close	to_near-back			
ʉe	from_rounded	from_close	from_central	to_unrounded	to_close-mid	to_front			
ʉu	from_rounded	from_close	from_central	to_rounded	to_close	to_back			
ʉo	from_rounded	from_close	from_central	to_rounded	to_close-mid	to_back			
ʉɜ	from_rounded	from_close	from_central	to_unrounded	to_open-mid	to_central			
ʉɵ̞	from_rounded	from_close	from_central	to_rounded	to_mid	to_central			
ʉy	from_rounded	from_close	from_central	to_rounded	to_close	to_front			
ʉɤ̞	from_rounded	from_close	from_central	to_unrounded	to_mid	to_back			
ʉʊ	from_rounded	from_close	from_central	to_rounded	to_near-close	to_near-back			
ʉɶ	from_rounded	from_close	from_central	to_rounded	to_open	to_front			
ʉɨ	from_rounded	from_close	from_central	to_unrounded	to_close	to_central			
ʉø̞	from_rounded	from_close	from_central	to_rounded	to_mid	to_front			
ʉɐ	from_rounded	from_close	from_central	to_unrounded	to_nearly-open	to_central			
ʉœ	from_rounded	from_close	from_central	to_rounded	to_open-mid	to_front			
ʉø	from_rounded	from_close	from_central	to_rounded	to_close-mid	to_front			
ʉʊ̈	from_rounded	from_close	from_central	to_rounded	to_near-close	to_central			
ʉi	from_rounded	from_close	from_central	to_unrounded	to_close	to_front			
ʉɛ	from_rounded	from_close	from_central	to_unrounded	to_open-mid	to_front			
ʉɒ	from_rounded	from_close	from_central	to_rounded	to_open	to_back			
ʉa	from_rounded	from_close	from_central	to_unrounded	to_open	to_front			
ʉo̞	from_rounded	from_close	from_central	to_rounded	to_mid	to_back			
ʉʌ	from_rounded	from_close	from_central	to_unrounded	to_open-mid	to_back			
ʉɪ	from_rounded	from_close	from_central	to_unrounded	to_near-close	to_near-front			
ʉə	from_rounded	from_close	from_central	to_unrounded	to_mid	to_central			
ʉʏ	from_rounded	from_close	from_central	to_rounded	to_near-close	to_near-front			
ʉɔ	from_rounded	from_close	from_central	to_rounded	to_open-mid	to_back			
ʉɵ	from_rounded	from_close	from_central	to_rounded	to_close-mid	to_central			
ʉɘ	from_rounded	from_close	from_central	to_unrounded	to_close-mid	to_central			
ʉɯ	from_rounded	from_close	from_central	to_unrounded	to_close	to_back			
ʉe̞	from_rounded	from_close	from_central	to_unrounded	to_mid	to_front			
ɑɞ̞	from_unrounded	from_open	from_back	to_rounded	to_near-open	to_central			
ɑæ	from_unrounded	from_open	from_back	to_unrounded	to_nearly-open	to_front			
ɑɞ	from_unrounded	from_open	from_back	to_rounded	to_open-mid	to_central			
ɑɪ̈	from_unrounded	from_open	from_back	to_unrounded	to_near-close	to_central			
ɑɤ	from_unrounded	from_open	from_back	to_unrounded	to_close-mid	to_back			
ɑʉ	from_unrounded	from_open	from_back	to_rounded	to_close	to_central			
ɑɯ̽	from_unrounded	from_open	from_back	to_unrounded	to_near-close	to_near-back			
ɑe	from_unrounded	from_open	from_back	to_unrounded	to_close-mid	to_front			
ɑu	from_unrounded	from_open	from_back	to_rounded	to_close	to_back			
ɑo	from_unrounded	from_open	from_back	to_rounded	to_close-mid	to_back			
ɑɜ	from_unrounded	from_open	from_back	to_unrounded	to_open-mid	to_central			
ɑɵ̞	from_unrounded	from_open	from_back	to_rounded	to_mid	to_central			
ɑy	from_unrounded	from_open	from_back	to_rounded	to_close	to_front			
ɑɤ̞	from_unrounded	from_open	from_back	to_unrounded	to_mid	to_back			
ɑʊ	from_unrounded	from_open	from_back	to_rounded	to_near-close	to_near-back			
ɑɶ	from_unrounded	from_open	from_back	to_rounded	to_open	to_front			
ɑɨ	from_unrounded	from_open	from_back	to_unrounded	to_close	to_central			
ɑø̞	from_unrounded	from_open	from_back	to_rounded	to_mid	to_front			
ɑɐ	from_unrounded	from_open	from_back	to_unrounded	to_nearly-open	to_central			
ɑœ	from_unrounded	from_open	from_back	to_rounded	to_open-mid	to_front			
ɑø	from_unrounded	from_open	from_back	to_rounded	to_close-mid	to_front			
ɑʊ̈	from_unrounded	from_open	from_back	to_rounded	to_near-close	to_central			
ɑi	from_unrounded	from_open	from_back	to_unrounded	to_close	to_front			
ɑɛ	from_unrounded	from_open	from_back	to_unrounded	to_open-mid	to_front			
ɑɒ	from_unrounded	from_open	from_back	to_rounded	to_open	to_back			
ɑa	from_unrounded	from_open	from_back	to_unrounded	to_open	to_front			
ɑo̞	from_unrounded	from_open	from_back	to_rounded	to_mid	to_back			
ɑʌ	from_unrounded	from_open	from_back	to_unrounded	to_open-mid	to_back			
ɑɪ	from_unrounded	from_open	from_back	to_unrounded	to_near-close	to_near-front			
ɑə	from_unrounded	from_open	from_back	to_unrounded	to_mid	to_central			
ɑʏ	from_unrounded	from_open	from_back	to_rounded	to_near-close	to_near-front			
ɑɔ	from_unrounded	from_open	from_back	to_rounded	to_open-mid	to_back			
ɑɵ	from_unrounded	from_open	from_back	to_rounded	to_close-mid	to_central			
ɑɘ	from_unrounded	from_open	from_back	to_unrounded	to_close-mid	to_central			
ɑɯ	from_unrounded	from_open	from_back	to_unrounded	to_close	to_back			
ɑe̞	from_unrounded	from_open	from_back	to_unrounded	to_mid	to_front			
ɯ̽ɞ̞	from_unrounded	from_near-close	from_near-back	to_rounded	to_near-open	to_central			
ɯ̽æ	from_unrounded	from_near-close	from_near-back	to_unrounded	to_nearly-open	to_front			
ɯ̽ɞ	from_unrounded	from_near-close	from_near-back	to_rounded	to_open-mid	to_central			
ɯ̽ɪ̈	from_unrounded	from_near-close	from_near-back	to_unrounded	to_near-close	to_central			
ɯ̽ɤ	from_unrounded	from_near-close	from_near-back	to_unrounded	to_close-mid	to_back			
ɯ̽ʉ	from_unrounded	from_near-close	from_near-back	to_rounded	to_close	to_central			
ɯ̽ɑ	from_unrounded	from_near-close	from_near-back	to_unrounded	to_open	to_back			
ɯ̽e	from_unrounded	from_near-close	from_near-back	to_unrounded	to_close-mid	to_front			
ɯ̽u	from_unrounded	from_near-close	from_near-back	to_rounded	to_close	to_back			
ɯ̽o	from_unrounded	from_near-close	from_near-back	to_rounded	to_close-mid	to_back			
ɯ̽ɜ	from_unrounded	from_near-close	from_near-back	to_unrounded	to_open-mid	to_central			
ɯ̽ɵ̞	from_unrounded	from_near-close	from_near-back	to_rounded	to_mid	to_central			
ɯ̽y	from_unrounded	from_near-close	from_near-back	to_rounded	to_close	to_front			
ɯ̽ɤ̞	from_unrounded	from_near-close	from_near-back	to_unrounded	to_mid	to_back			
ɯ̽ʊ	from_unrounded	from_near-close	from_near-back	to_rounded	to_near-close	to_near-back			
ɯ̽ɶ	from_unrounded	from_near-close	from_near-back	to_rounded	to_open	to_front			
ɯ̽ɨ	from_unrounded	from_near-close	from_near-back	to_unrounded	to_close	to_central			
ɯ̽ø̞	from_unrounded	from_near-close	from_near-back	to_rounded	to_mid	to_front			
ɯ̽ɐ	from_unrounded	from_near-close	from_near-back	to_unrounded	to_nearly-open	to_central			
ɯ̽œ	from_unrounded	from_near-close	from_near-back	to_rounded	to_open-mid	to_front			
ɯ̽ø	from_unrounded	from_near-close	from_near-back	to_rounded	to_close-mid	to_front			
ɯ̽ʊ̈	from_unrounded	from_near-close	from_near-back	to_rounded	to_near-close	to_central			
ɯ̽i	from_unrounded	from_near-close	from_near-back	to_unrounded	to_close	to_front			
ɯ̽ɛ	from_unrounded	from_near-close	from_near-back	to_unrounded	to_open-mid	to_front			
ɯ̽ɒ	from_unrounded	from_near-close	from_near-back	to_rounded	to_open	to_back			
ɯ̽a	from_unrounded	from_near-close	from_near-back	to_unrounded	to_open	to_front			
ɯ̽o̞	from_unrounded	from_near-close	from_near-back	to_rounded	to_mid	to_back			
ɯ̽ʌ	from_unrounded	from_near-close	from_near-back	to_unrounded	to_open-mid	to_back			
ɯ̽ɪ	from_unrounded	from_near-close	from_near-back	to_unrounded	to_near-close	to_near-front			
ɯ̽ə	from_unrounded	from_near-close	from_near-back	to_unrounded	to_mid	to_central			
ɯ̽ʏ	from_unrounded	from_near-close	from_near-back	to_rounded	to_near-close	to_near-front			
ɯ̽ɔ	from_unrounded	from_near-close	from_near-back	to_rounded	to_open-mid	to_back			
ɯ̽ɵ	from_unrounded	from_near-close	from_near-back	to_rounded	to_close-mid	to_central			
ɯ̽ɘ	from_unrounded	from_near-close	from_near-back	to_unrounded	to_close-mid	to_central			
ɯ̽ɯ	from_unrounded	from_near-close	from_near-back	to_unrounded	to_close	to_back			
ɯ̽e̞	from_unrounded	from_near-close	from_near-back	to_unrounded	to_mid	to_front			
eɞ̞	from_unrounded	from_close-mid	from_front	to_rounded	to_near-open	to_central			
eæ	from_unrounded	from_close-mid	from_front	to_unrounded	to_nearly-open	to_front			
eɞ	from_unrounded	from_close-mid	from_front	to_rounded	to_open-mid	to_central			
eɪ̈	from_unrounded	from_close-mid	from_front	to_unrounded	to_near-close	to_central			
eɤ	from_unrounded	from_close-mid	from_front	to_unrounded	to_close-mid	to_back			
eʉ	from_unrounded	from_close-mid	from_front	to_rounded	to_close	to_central			
eɑ	from_unrounded	from_close-mid	from_front	to_unrounded	to_open	to_back			
eɯ̽	from_unrounded	from_close-mid	from_front	to_unrounded	to_near-close	to_near-back			
eu	from_unrounded	from_close-mid	from_front	to_rounded	to_close	to_back			
eo	from_unrounded	from_close-mid	from_front	to_rounded	to_close-mid	to_back			
eɜ	from_unrounded	from_close-mid	from_front	to_unrounded	to_open-mid	to_central			
eɵ̞	from_unrounded	from_close-mid	from_front	to_rounded	to_mid	to_central			
ey	from_unrounded	from_close-mid	from_front	to_rounded	to_close	to_front			
eɤ̞	from_unrounded	from_close-mid	from_front	to_unrounded	to_mid	to_back			
eʊ	from_unrounded	from_close-mid	from_front	to_rounded	to_near-close	to_near-back			
eɶ	from_unrounded	from_close-mid	from_front	to_rounded	to_open	to_front			
eɨ	from_unrounded	from_close-mid	from_front	to_unrounded	to_close	to_central			
eø̞	from_unrounded	from_close-mid	from_front	to_rounded	to_mid	to_front			
eɐ	from_unrounded	from_close-mid	from_front	to_unrounded	to_nearly-open	to_central			
eœ	from_unrounded	from_close-mid	from_front	to_rounded	to_open-mid	to_front			
eø	from_unrounded	from_close-mid	from_front	to_rounded	to_close-mid	to_front			
eʊ̈	from_unrounded	from_close-mid	from_front	to_rounded	to_near-close	to_central			
ei	from_unrounded	from_close-mid	from_front	to_unrounded	to_close	to_front			
eɛ	from_unrounded	from_close-mid	from_front	to_unrounded	to_open-mid	to_front			
eɒ	from_unrounded	from_close-mid	from_front	to_rounded	to_open	to_back			
ea	from_unrounded	from_close-mid	from_front	to_unrounded	to_open	to_front			
eo̞	from_unrounded	from_close-mid	from_front	to_rounded	to_mid	to_back			
eʌ	from_unrounded	from_close-mid	from_front	to_unrounded	to_open-mid	to_back			
eɪ	from_unrounded	from_close-mid	from_front	to_unrounded	to_near-close	to_near-front			
eə	from_unrounded	from_close-mid	from_front	to_unrounded	to_mid	to_central			
eʏ	from_unrounded	from_close-mid	from_front	to_rounded	to_near-close	to_near-front			
eɔ	from_unrounded	from_close-mid	from_front	to_rounded	to_open-mid	to_back			
eɵ	from_unrounded	from_close-mid	from_front	to_rounded	to_close-mid	to_central			
eɘ	from_unrounded	from_close-mid	from_front	to_unrounded	to_close-mid	to_central			
eɯ	from_unrounded	from_close-mid	from_front	to_unrounded	to_close	to_back			
ee̞	from_unrounded	from_close-mid	from_front	to_unrounded	to_mid	to_front			
uɞ̞	from_rounded	from_close	from_back	to_rounded	to_near-open	to_central			
uæ	from_rounded	from_close	from_back	to_unrounded	to_nearly-open	to_front			
uɞ	from_rounded	from_close	from_back	to_rounded	to_open-mid	to_central			
uɪ̈	from_rounded	from_close	from_back	to_unrounded	to_near-close	to_central			
uɤ	from_rounded	from_close	from_back	to_unrounded	to_close-mid	to_back			
uʉ	from_rounded	from_close	from_back	to_rounded	to_close	to_central			
uɑ	from_rounded	from_close	from_back	to_unrounded	to_open	to_back			
