CLTS_NAME	BIPA_GRAPHEME	WIKIPEDIA_URL
voiceless glottal affricate consonant	ʔh	https://en.wikipedia.org/wiki/voiceless_glottal_affricate
voiced alveolar approximant consonant	ɹ	https://en.wikipedia.org/wiki/voiced_alveolar_approximant
labialized voiceless uvular fricative consonant	χʷ	https://en.wikipedia.org/wiki/labialized_voiceless_uvular_fricative
unvoiced alveolar stop-segment click	ǃ	https://en.wikipedia.org/wiki/%C7%83
voiced dental implosive consonant	ɗ	https://en.wikipedia.org/wiki/voiced_dental_implosive
voiced alveolar fricative consonant	z	https://en.wikipedia.org/wiki/voiced_alveolar_fricative
voiceless labiovelar fricative consonant	ʍ	https://en.wikipedia.org/wiki/voiceless_labiovelar_fricative
voiced postalveolar fricative consonant	ʒ	https://en.wikipedia.org/wiki/voiced_postalveolar_fricative
voiced velar affricate consonant	gɣ	https://en.wikipedia.org/wiki/voiced_velar_affricate
unvoiced palatal stop-segment click	ǂ	https://en.wikipedia.org/wiki/%C7%82
unvoiced labial stop-segment click	ʘ	https://en.wikipedia.org/wiki/%CA%98
voiced bilabial approximant consonant	β̞	https://en.wikipedia.org/wiki/voiced_bilabial_approximant
labialized voiceless uvular plosive consonant	qʷ	https://en.wikipedia.org/wiki/labialized_voiceless_uvular_plosive
voiced retroflex fricative consonant	ʐ	https://en.wikipedia.org/wiki/voiced_retroflex_fricative
voiceless postalveolar fricative consonant	ʃ	https://en.wikipedia.org/wiki/voiceless_postalveolar_fricative
voiced retroflex flap consonant	ɽ	https://en.wikipedia.org/wiki/voiced_retroflex_flap
voiced dental affricate consonant	dð	https://en.wikipedia.org/wiki/voiced_dental_affricate
unreleased voiceless bilabial plosive consonant	p̚	https://en.wikipedia.org/wiki/unreleased_voiceless_bilabial_plosive
voiceless palatal fricative consonant	ç	https://en.wikipedia.org/wiki/voiceless_palatal_fricative
voiced velar fricative consonant	ɣ	https://en.wikipedia.org/wiki/voiced_velar_fricative
voiceless bilabial affricate consonant	pɸ	https://en.wikipedia.org/wiki/voiceless_bilabial_affricate
voiced uvular fricative consonant	ʁ	https://en.wikipedia.org/wiki/voiced_uvular_fricative
voiceless glottal fricative consonant	h	https://en.wikipedia.org/wiki/voiceless_glottal_fricative
voiceless bilabial fricative consonant	ɸ	https://en.wikipedia.org/wiki/voiceless_bilabial_fricative
voiceless alveolo-palatal fricative consonant	ɕ	https://en.wikipedia.org/wiki/voiceless_alveolo-palatal_fricative
voiced bilabial plosive consonant	b	https://en.wikipedia.org/wiki/voiced_bilabial_plosive
voiced alveolo-palatal fricative consonant	ʑ	https://en.wikipedia.org/wiki/voiced_alveolo-palatal_fricative
voiced uvular implosive consonant	ʛ	https://en.wikipedia.org/wiki/voiced_uvular_implosive
voiced postalveolar affricate consonant	dʒ	https://en.wikipedia.org/wiki/voiced_postalveolar_affricate
voiceless uvular implosive consonant	ʛ̥	https://en.wikipedia.org/wiki/voiceless_uvular_implosive
voiced dental approximant consonant	ð̞	https://en.wikipedia.org/wiki/dental_approximant
voiceless labiodental fricative consonant	f	https://en.wikipedia.org/wiki/voiceless_labiodental_fricative
voiced alveolo-palatal nasal consonant	ȵ	https://en.wikipedia.org/wiki/alveolo-palatal_nasal
voiced palatal affricate consonant	ɟʝ	https://en.wikipedia.org/wiki/voiced_palatal_affricate
voiced pharyngeal fricative consonant	ʕ	https://en.wikipedia.org/wiki/voiced_pharyngeal_fricative
voiced bilabial affricate consonant	bβ	https://en.wikipedia.org/wiki/voiced_bilabial_affricate
voiced retroflex nasal consonant	ɳ	https://en.wikipedia.org/wiki/voiced_retroflex_nasal
voiced uvular nasal consonant	ɴ	https://en.wikipedia.org/wiki/voiced_uvular_nasal
voiceless palatal plosive consonant	c	https://en.wikipedia.org/wiki/voiceless_palatal_plosive
